Companies,Description,URL,Company Status,Founded Year,Competitors,Mosaic (Overall),Total Funding,All Investors,Country,State,City,Sector,Applications,Sub-Industry
Nexus Laboratories,"Nexus Laboratories specializes in large-scale verifiable computing and is part of the cryptography and computer science sectors. The company offers a general-purpose system known as the Nexus zkVM, which utilizes zero-knowledge proofs to ensure computation verifiability without revealing underlying data. Nexus Laboratories primarily serves sectors that require enhanced data security and verifiability, such as the blockchain and financial technology industries. It was founded in 2022 and is based in Oakland, California.",nexus.xyz,Alive / Active,2022,"Succinct, IronMill, Zorp, Runtime Verification",730.0,27.20,"Alliance, Blockchain Builders Fund, Dragonfly, SV Angel, Faction, Lightspeed Venture Partners, Pantera Capital",United States,California,Oakland,Internet,Internet Software & Services,Monitoring & Security
GaiaNet,"GaiaNet is a company focused on decentralizing AI inferencing through a distributed network. The company offers a platform where individuals can contribute their underutilized hardware to support AI operations, and provides tools for fine-tuning AI models with private data. GaiaNet primarily serves sectors that require decentralized AI solutions, such as education and commercial applications. It was founded in 2017 and is based in Berkeley, California.",gaianet.ai,Alive / Active,2017,"Groq, Prime Intellect, Lumino, Neural Magic, DiscreetAI",631.0,10.00,"ByteTrade, EVM Capital, Generative Ventures, Mantle, Mirana Ventures, Republic Capital",United States,California,Berkeley,Internet,Internet Software & Services,Application & Data Integration
Origo Network,"Origo Network focuses on providing a privacy-preserving platform for decentralized applications within the blockchain sector. The company offers a scalable solution that implements an advanced double-zero knowledge-proof system to ensure the privacy of application inputs, outputs, and transactions. Origo's platform is designed to support various applications such as private cryptocurrency exchanges, fundraising activities, payroll processes, and contracts in personal data management and supply chain operations. It was founded in 2018 and is based in Newark, California.",origo.network,Alive / Active,2018,"Beldex, Dusk Network, SCRT Labs, Shyft Network",189.0,30.00,Polychain Capital,United States,California,Newark,Internet,Internet Software & Services,Monitoring & Security
Cape,"Cape is a privacy-first mobile carrier in the telecommunications industry. The company offers secure mobile services with privacy features, such as untraceable personal information and protection against spam and SIM swap attacks. Its services are designed to cater to individuals and organizations concerned with privacy and security in their mobile communications. It was founded in 2022 and is based in Washington, DC.",cape.co,Alive / Active,2022,"Nuke From Orbit, Beldex, REALLY, MyPrivacy, Talktelecom",742.0,61.00,"A* Capital, Andreessen Horowitz, Costanoa Ventures, Forward Deployed VC, Karman Ventures, Point72 Ventures, XYZ Ventures, ex/ante",United States,DC,Washington,Mobile & Telecommunications,Telecom Services,Wireless
Andesite AI,"Andesite AI specializes in enhancing the capabilities of cyber defense teams within the cybersecurity industry. The company offers advanced artificial intelligence-driven technology designed to streamline cyber threat decision-making by transforming decentralized data sets into actionable insights. Andesite AI's solutions are tailored to assist cyber defenders and analysts in efficiently identifying threats and vulnerabilities, optimizing resource allocation, and improving response and remediation efforts. It was founded in 2023 and is based in McLean, VA.",andesite.ai,Alive / Active,2023,"SOCRadar, Tidal Cyber, EclecticIQ, Intezer, ThreatConnect, LookingGlass Cyber Solutions",712.0,15.25,"General Catalyst, Red Cell Partners",United States,Virginia,McLean,Internet,Internet Software & Services,Monitoring & Security
0G,"0G focuses on providing modular artificial intelligence (AI) chain infrastructure for the web3 and AI sectors. It offers a programmable data availability layer designed to support the development of AI-driven decentralized applications (dapps). Its services cater to developers and enterprises looking to build secure, efficient, and interoperable applications within the Web3 ecosystem. 0G was formerly known as Zero Gravity Labs. It was founded in 2023 and is based in San Francisco, California.",0g.ai,Alive / Active,2023,"Nirvana Labs, Playgrounds, Mysten Labs, Scale3 Labs, Phoenix Global, AIOZ Network",676.0,35.00,"LongHash Ventures, Abstract Ventures, Alliance, Animoca Brands, Arca, Banter Capital, Blockchain Builders Fund, DWF Labs, Delphi Digital, Dispersion Capital, Foresight Ventures, GSR Markets, Hack VC, Joe Takayama, NGC Ventures, No Limit Holdings, OKX Ventures, Orange, Paramita Ventures, Santiago Santos, Symbolic Capital, gumi Cryptos",United States,California,San Francisco,Internet,Internet Software & Services,Application & Data Integration
p0x labs,"p0x Labs is a technology developer focused on enhancing privacy for web3 applications and decentralized assets within the blockchain industry. Their main offerings include the creation of protocols that utilize zero-knowledge proofs, specifically zkSNARKs, to ensure high performance and robust privacy and security for users. The company primarily caters to projects and entities within the blockchain and cryptocurrency sectors. It was founded in 2020 and is based in Santa Cruz, California.",p0xlabs.xyz,Alive / Active,2020,"Manta Network, SphereX, Lossless, Applied Blockchain, Panther Protocol",627.0,30.50,"Sanctor Turbo, Alliance, CoinFund, Polychain Capital, Qiming Venture Partners, SevenX Ventures",United States,California,Santa Cruz,Internet,Internet Software & Services,Monitoring & Security
Lagrange,"Lagrange develops a cross-chain software development platform. It offers interaction between chains with cryptographically secure state proofs and opaque intermediaries. The platform allows users to prove a cross-chain state without requiring intermediary bridges or messaging protocols through decentralized identity and social media. The company was founded in 2022 and is based in New York, New York.",lagrange.dev,Alive / Active,2022,"Socket, Cubist, Proven, Allbridge, GitHub, ChainPort",703.0,17.20,"1kx, CMT Digital, Daedalus, Lattice Capital, Maven 11 Capital, Amrit Kumar, Archetype Ventures, David Phelps, Fenbushi Capital, Founders Fund, Joe Lau, Mantle, Nikil Viswanathan, Sam Blond, Volt Capital",United States,New York,New York,Internet,Internet Software & Services,Networking & Connectivity
Story Protocol,"Story Protocol focuses on developing open intellectual property (IP) infrastructure, operating within the blockchain and entertainment sectors. The company involves providing tools for capturing IPs, enabling the creation and remixing of various forms of media with built-in ownership. Its service primarily caters to the entertainment and Web3 industries. It was founded in 2022 and is based in Bellevue, Washington.",storyprotocol.xyz,Alive / Active,2022,"Zora, Cosmic Wire, MetaZone, Wakweli, Privy Labs",748.0,83.30,"Andreessen Horowitz, Berggruen Holdings, Hashed, Mirana Ventures, SLVC, Samsung NEXT, Two Small Fish Ventures, dao5, 11:11 Media, A16z Crypto, Alliance, Balaji Srinivasan, Chang Kim, Changhan Kim, Charlie Songhurst, David Bonderman, David Lee, Endeavor, Foresight Ventures, Insignia Ventures Partners, Kyoung In Jung, Nicolas Berggruen, Roham Gharegozlou, Sanghun Kim, Si-hyuk Bang",United States,Washington,Bellevue,Computer Hardware & Services,IT Services,Infrastructure & Hosting
REALLY,"REALLY is a telecom company focused on providing decentralized wireless services within the mobile communications industry. The company offers privacy-focused mobile services, including unlimited talk, text, and data, with no contracts and a commitment to ecological responsibility. REALLY primarily serves individuals and local businesses interested in a community-driven and privacy-centric mobile network. It was founded in 2022 and is based in Austin, Texas.",really.com,Alive / Active,2022,"Uplink, GXC, ezWifi, A5G Networks, FreedomFi, T-Mobile",653.0,18.00,"Mike Maples, Polychain Capital",United States,Texas,Austin,Internet,Internet Software & Services,Internet Service Provider
Sending Labs,"Sending Labs focuses on developing a Web3 communications stack within the technology sector. Their main offerings include SendingMe, a decentralized chat application designed for community engagement and digital asset management, and SendingNetwork, a secure infrastructure facilitating user interactions across various applications. These products serve the emerging Web3 social platform and decentralized application space. It was founded in 2021 and is based in Austin, Texas.",sendinglabs.com,Alive / Active,2021,"Entangle, Hivello, Entre, LedgerFi",592.0,20.00,"Insignia Ventures Partners, K3 Ventures, Lingfeng Capital, MindWorks Capital, Signum Capital, Balaji Srinivasan, Gabby Dizon, Galxe, Nomad Capital, SWC Global, Symbolic Capital, Web3.com Ventures",United States,Texas,Austin,Internet,Internet Software & Services,Conferencing & Communication
Succinct,"Succinct focuses on the development of an open infrastructure layer for building applications, proof systems, and providing proving infrastructure, enabling verifiable computation with minimal vendor lock-in. Succinct primarily serves sectors that require blockchain applications and infrastructure, such as decentralized finance protocols and decentralized applications. It was founded in 2022 and is based in San Francisco, California.",succinct.xyz,Alive / Active,2022,"VeriHash, Empiric Network, Orbs, OPEN Platform, StackOS",730.0,55.10,"Meanwhile, Paradigm, Robot Ventures, The Thiel Foundation, Andrew Huang, Bankless Ventures, Daniel Lubarov, Dev Ojha, Elad Gil, Eugene Chen, Geometry DAO, John Adler, Sandeep Nailwal, Sreeram Kannan, Ye Zhang, Zero Knowledge Validator",United States,California,San Francisco,Internet,Internet Software & Services,Operating Systems & Utility
Nillion,"Nillion is a technology company focused on decentralized data processing and privacy-enhancing technologies within the blockchain sector. The company offers a secure computing network that enables the confidential training and inference of AI models, as well as the storage and processing of sensitive data using advanced cryptographic methods. Nillion's services cater to industries that require high levels of data security and privacy, such as healthcare, finance, and IoT. It was founded in 2021 and is based in New York, New York.",nillion.com,Alive / Active,2021,"Zama, Ligero, Oasis Protocol Foundation, Chain Reaction, Fog Works, mintBlue, Inpher, DiscreetAI, SCRT Labs",636.0,20.00,"AU21, Big Brain Holdings, Chapter One, Distributed Global, GSR Ventures, HashKey Capital, Inception Capital, SALT Fund, Beacon",United States,New York,New York,Internet,Internet Software & Services,Data Storage
