Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Grammarly,grammarly.com,"Grammarly is a leading AI writing assistance company in the technology sector. The company offers a suite of tools that enhance writing quality by checking grammar, detecting plagiarism, and providing suggestions for rephrasing and style improvement. Grammarly primarily serves individuals and organizations across various sectors, including education, customer support, marketing, IT, sales, and human resources. It was founded in 2009 and is based in San Francisco, California.",Horizontal applications,Unattributed VC - III,2021/11/18,400,"Breyer Capital, General Catalyst, Institutional Venture Partners, SignalFire, Spark Capital, Sozo Ventures, Baillie Gifford, BlackRock",13000,200,,,,850,2023/10/04,United States,Writing & storytelling. Sales & customer support. Consumer social apps & tools.,x,,,
Fractl,fractl.io,"Fractl is a technology company specializing in software development tools with a focus on generative AI-powered no-code programming. The company offers a platform that enables rapid development of SaaS applications by combining generative AI, visual development, and traditional coding. Fractl primarily serves software developers and enterprises looking to streamline their app development processes. It was founded in 2021 and is based in Cupertino, California.",Horizontal applications,Pre-Seed,2023/11/14,1.02,"Arka Venture Labs, January Capital, WestWave Capital",,1.02,,,,510,2024/02/22,United States,Website & app builder,,,,
Debuild,debuild.co,"Debuild is a company that focuses on the technology sector, specifically in the domain of web application development. The company offers an AI-powered low-code tool that enables users to build web applications quickly and efficiently. This tool assists in generating React components, SQL code, and visually assembling interfaces. It is based in United States.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Website & app builder,,,x,
Topline Pro,prophone.com,"Topline Pro focuses on providing technological solutions for home service professionals and small businesses. The company operates in the domain of generative artificial intelligence (AI) and digital marketing. It offers a range of services including the creation of custom, search engine optimization (SEO)-optimized websites, social media automation, and online payment facilitation. Its services are designed to enhance the online presence of businesses and improve their discoverability, and their booking and payment processes. It was formerly known as Prophone. It was founded in 2020 and is based in New York, New York.",Horizontal applications,Series A,2023/07/31,17.13,"Flybridge Capital Partners, Y Combinator, BBG Ventures, Bonfire Ventures, Songe LaRon, TMV, The Graduate Syndicate, Forerunner Ventures",46.58,12,,,,500,2023/10/04,United States,Website & app builder,,,x,
Pygma,pygma.app,"Pygma is a company focused on providing analysis and insights into Major League Baseball (MLB). The company offers in-depth reviews and strategic outlooks on international baseball, particularly MLB, to sports fans without using overly technical language. The primary audience for Pygma's content includes sports enthusiasts and followers of MLB. It is based in New York, United States.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Website & app builder,,,x,
Stack AI,stack-ai.com,"Stack AI offers a large language model (LLM) building software platforms. It allows users to collect, label, clean data, fine-tune, compose, and deploy LLM applications in one place. The company was founded in 2022 and is based in Cambridge, Massachusetts.",Horizontal applications,Incubator/Accelerator,2023/05/24,3.5,"Y Combinator, Beat Ventures, Epakon Capital, Gradient Ventures, Lambda, Soma Capital, True Capital Partners, AWS Generative AI Accelerator",,,,,,620,2023/10/04,United States,Website & app builder,,,x,
Vellum,vellum.ai,"Vellum operates as a developer platform for building production-worthy applications. It offers a development platform for large language model applications, gathering model inputs, outputs, and user comments to help build up important training data to enhance proprietary models. The company was founded in 2023 and is based in New York, New York.",Horizontal applications,Seed VC,2023/07/11,5.5,"Y Combinator, Eastlink Capital, Pioneer Fund, Rebel Fund",,5,,,,570,2023/10/04,United States,Website & app builder,,,x,
Descript,descript.com,"Descript offers an audio and video editing platform for new media creators. Its platform enables users to edit audio by editing text instead of waveforms by transcribing through both automation and human-powered. It offers a range of features such as transcription, podcasting, screen recording, and more. The company was founded in 2017 and is based in San Francisco, California.",Horizontal applications,Series C,2022/10/27,100,"NVIDIA Inception Program, Andreessen Horowitz, Detour, Redpoint Ventures, Nabeel Hyatt, Spark Capital, Daniel Gross, OpenAI Startup Fund",550,50,Spinoff / Spinout,2017/12/12,,780,2023/10/04,United States,"Voice synthesis & cloning, Photo & video editing tools",,x,,x
Podcastle,podcastle.ai,"Podcastle is a web-based platform that specializes in podcast creation and audio content production. The company offers tools for recording, editing, enhancing, transcribing, and publishing podcasts, utilizing AI technology to simplify these processes. Podcastle primarily serves content creators, educators, and businesses in the digital media and podcasting sectors. It was founded in 2020 and is based in Middletown, Delaware.",Horizontal applications,Series A,2024/02/01,22.45,"AI Fund, Correlation Ventures, Sierra Ventures, Point Nine Capital, RTP Global, S16VC, Anthony Casalena, Mosaic Ventures, Rene Rechtman",27.79,13.5,,,,770,2023/10/04,United States,Voice synthesis & cloning,,x,,
Murf AI,murf.ai,"Murf AI is a company that focuses on artificial intelligence in the audio technology industry. The company offers a versatile AI voice generator that converts text to speech, creating lifelike voice overs in a variety of languages. This service is primarily used by content creators, educators, marketers, and businesses in sectors such as e-learning, advertising, and customer support. It was founded in 2020 and is based in Salt Lake City, Utah.",Horizontal applications,Series A,2022/09/21,11.5,"Ashish Goel, Elevation Capital, Kashyap Deorahe, Sanjeev Barnwal, Vidit Aatrey, Anand Chandrasekaran, Ankit Bhai, Ashwini Asokan, Matrix Partners India, Pushkar Mukewar, Yamini Bhat",45.61,10,,,,710,2023/10/04,United States,Voice synthesis & cloning,,x,,
Lovo,lovo.ai,"Lovo offers a digital platform specializing in artificial intelligence voiceover services. The platform allows creators to type a script and generate speech for games, films, advertisements, streaming services, electronic learning institutions, application developers, and more. It serves the technology sector.  Lovo was formerly known as Orbis AI. The company was founded in 2019 and is based in Berkeley, California.",Horizontal applications,Seed VC - III,2022/04/07,6.5,"Primer Sazze Partners, TIPS Program, C&Venture Partners, NVIDIA Inception Program, Berkeley SkyDeck, Hustle Fund, Kakao Entertainment, Kakao Investment, LG CNS, Michael Kim, SkyDeck Fund, Daniel Wu, Goodwater Capital, Hashed, Holly Liu, Kun Gao, Matt Finick, PKO Investments, Patrick Lee, Ray Chan, Yat Siu",14.27,2,,,,440,2023/10/04,United States,Voice synthesis & cloning,,x,,
PlayHT,play.ht,"PlayHT specializes in advanced text-to-speech technology. The company offers a suite of products to convert text into natural-sounding, humanlike voice performances in multiple languages, and accents. It provides voice cloning services to create custom artificial intelligence (AI) voices. PlayHT's solutions involve e-learning, podcasting, gaming, and customer service industries. It was founded in 2016 and is based in Middletown, Delaware.",Horizontal applications,Convertible Note - II,2023/06/23,0.75,"TRAC, Y Combinator, 500 Global, Pioneer Fund, AI Grant",,0.25,,,,640,2023/10/04,United States,Voice synthesis & cloning,,x,,
Listnr,listnr.tech,"Listnr is a company that focuses on artificial intelligence and operates in the tech industry. The company offers a platform that allows users to generate realistic voice and video content using AI, with features such as text to speech, voiceovers, and text to video generation. The company primarily serves sectors such as marketing, eLearning, and content creation. It was founded in 2020 and is based in Middletown, Delaware.",Horizontal applications,,,,,,,,,,520,2023/10/04,United States,Voice synthesis & cloning,,x,,
Speechify,speechify.com,"Speechify is an AI-powered text-to-speech platform that specializes in converting written content into spoken words across various digital mediums. The company offers a suite of tools that enable users to listen to text from documents, web pages, and applications on multiple devices. Speechify primarily serves individuals and businesses looking to enhance accessibility and productivity through auditory learning and content consumption. It was founded in 2017 and is based in Saint Petersburg, Florida.",Horizontal applications,Seed VC,2020/07/01,4.5,"75 & Sunny, Browder Capital, CM Ventures, G9 Ventures, Great Oaks Venture Capital, Human Capital, Streamlined Ventures, Uncommon Projects",,4.5,,,,430,2023/10/04,United States,Voice synthesis & cloning,,x,,
ElevenLabs,elevenlabs.io,ElevenLabs focuses on artificial intelligence in the domain of voice generation technology. It specializes in creating text-to-speech software that allows users to generate voiceovers in multiple languages and voices. The company's technology is utilized to make content more accessible and enjoyable for diverse audiences. It was founded in 2022 and is based in New York.,Horizontal applications,Incubator/Accelerator,2024/02/23,101,"Concept Ventures, Credo Ventures, Andreessen Horowitz, Daniel Gross, Nat Friedman, Brendan Iribe, Creator Ventures, Mike Krieger, Mustafa Suleyman, SV Angel, Tim O’Reilly, BroadLight Capital, Sequoia Capital, Smash Capital, Disney Accelerator",1100,,,,,930,2023/10/04,United States,Voice synthesis & cloning,,x,,
WellSaid Labs,wellsaidlabs.com,"WellSaid Labs is a technology company that focuses on AI text-to-speech technology in the synthetic media industry. The company offers a platform that turns text into high-quality voice overs, providing a wide variety of voice styles, accents, and languages. It primarily serves creators, product developers, and brands, enhancing their stories and digital experiences. It was founded in 2019 and is based in Seattle, Washington.",Horizontal applications,Series A,2021/07/07,12,"Allen Institute for Artificial Intelligence, AI2 Incubator, Voyager Capital, FUSE, Good Friends, Qualcomm Ventures",58.34,10,Spinoff / Spinout,2019/03/07,,540,2023/10/04,United States,Voice synthesis & cloning,,x,,
Anecdote,anec.app,"Anecdote provides a customer analytics platform. It delves into each customer feedback ticket that the company receives and gives data insights so companies can uncover the real reasons behind dissatisfaction, friction, and churn. The company was founded in 2022 and is based in Middletown, Delaware.",Horizontal applications,Seed VC,2023/01/01,,Sukna Ventures,,,,,,360,2023/10/04,United States,Voice of customer,x,,,
Enterpret,enterpret.com,"Enterpret offers an analytics tool to analyze customer feedback. The company solves problems in natural language processing (NLP), machine learning operations (ml-ops), analytics, and data visualization. It was founded in 2020 and is based in San Francisco, California.",Horizontal applications,Seed VC,2022/03/02,4.3,"Lightspeed Extreme Entrepreneurs, Kleiner Perkins Caufield & Byers, Peak XV Partners, Unusual Ventures",,4.3,,,,480,2023/10/04,United States,Voice of customer,x,,,
Viable Fit,askviable.com,"Viable Fit focuses on artificial intelligence (AI) and data analysis within the technology sector. The company offers a platform that uses AI to transform raw qualitative data into actionable insights, helping businesses understand and prioritize critical issues that impact user satisfaction and retention. Viable Fit primarily serves businesses across various sectors, helping them to improve their products and services based on customer feedback. The company was founded in 2020 and is based in Oakland, California.",Horizontal applications,Incubator/Accelerator,2023/10/23,10.88,"10X Capital, Noveus Capital, Craft Ventures, Jeff Morris, Rahul Vohra, Todd Goldberg, Work Life Ventures, Behind Genius Ventures, Brianne Kimmel, Javelin Venture Partners, Jeff Morris Junior, BEEJ Network, Bill Butler, GTMFund, Merus Capital, Micheal Liou, Samvit Ramadurgam, StratMinds VC, Streamlined Ventures, Tempo Ventures, Tomorrow Street Scaleup X",,,,,,560,2023/10/04,United States,Voice of customer,x,,,
GoCharlie,gocharlie.ai,"GoCharlie is a generative artificial intelligence (AI) company operating in the technology sector. The company's main service involves the use of an AI engine, Charlie, which generates various types of content such as social posts and blog posts based on user needs. The company primarily serves the marketing industry. It was founded in 2021 and is based in Allentown, Pennsylvania.",Horizontal applications,Seed VC - II,2023/05/12,0.03,"Alchemist Accelerator, Goodwater Capital, XRC Ventures, Plug and Play Accelerator, Davidovs Venture Collective, SRI Ventures",,,,,,360,2023/10/04,United States,Visual ads & marketing,,,,x
Osmosis,osmosis.studio,"Osmosis is a company that focuses on the domain name trading industry. The company's main services include buying and selling domain names, making domain name trading accessible to everyone. The primary sectors the company sells to are individuals and businesses in need of domain names. It is based in California, United States.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Visual ads & marketing,,,,x
Omneky,omneky.com,"Omneky specializes in advertising and creative content personalization within the digital marketing industry. The company offers services that include generating brand-aligned creative content at scale, analyzing ad performance to drive sales, and managing campaigns across multiple ad platforms. Omneky primarily serves sectors that require dynamic creative content for advertising, such as agencies and enterprises looking to enhance their digital marketing efforts. It was founded in 2018 and is based in San Francisco, California.",Horizontal applications,Seed VC - II,2022/11/15,13,"AIX Ventures, Charlie Feng, Richard Socher, Tien Tzuo, Plug and Play Accelerator, DEEPCORE, Hyphen Capital, Village Global, DG Daiwa Ventures, Ethos, John Donovan, Orbit Venture Partners",,10,,,,590,2023/10/04,United States,Visual ads & marketing,,,,x
